Libro,count,std,mean,50%,Opinión del 1 al 6,fi,hi,Fi,Hi
Libro 68,173.0,1.2131100414129623,5.283236994219653,6.0,1,5,2.8901734104046244,5.0,2.8901734104046244
Libro 68,173.0,1.2131100414129623,5.283236994219653,6.0,2,2,1.1560693641618496,7.0,4.046242774566474
Libro 68,173.0,1.2131100414129623,5.283236994219653,6.0,3,12,6.9364161849710975,19.0,10.982658959537572
Libro 68,173.0,1.2131100414129623,5.283236994219653,6.0,4,11,6.358381502890173,30.0,17.341040462427745
Libro 68,173.0,1.2131100414129623,5.283236994219653,6.0,5,33,19.07514450867052,63.0,36.41618497109826
Libro 68,173.0,1.2131100414129623,5.283236994219653,6.0,6,110,63.58381502890174,173.0,100.0
Libro 69,63.0,0.8948850498428026,5.682539682539683,6.0,1,1,1.5873015873015872,1.0,1.5873015873015872
Libro 69,63.0,0.8948850498428026,5.682539682539683,6.0,2,0,0.0,0.0,0.0
Libro 69,63.0,0.8948850498428026,5.682539682539683,6.0,3,1,1.5873015873015872,2.0,3.1746031746031744
Libro 69,63.0,0.8948850498428026,5.682539682539683,6.0,4,5,7.936507936507936,7.0,11.11111111111111
Libro 69,63.0,0.8948850498428026,5.682539682539683,6.0,5,2,3.1746031746031744,9.0,14.285714285714285
Libro 69,63.0,0.8948850498428026,5.682539682539683,6.0,6,54,85.71428571428571,63.0,100.0
